id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
161	Pinotage is a crossing between what two grapes varieties?	Pinot Noir and Cinsaut 	Carignan and Pinot Blanc	Cabernet Franc and Gamay	Gamay and Tempranillo	Pinot Noir and Cinsaut 	"wine, grapes, South Africa, Location"	3	Multiple	11
162	What is the climate in the Margaret River region of Australia?	Maritime	Mediterranean	Continental	Tropical	Maritime	"wine, Australia, Western Australia, Location"	3	Multiple	11
163	What is the soil of the Coonawarra region called?	Terra rossa	Slate	Keuper	Albariza 	Terra rossa	"wine, Australia, regions, South Australia, Location"	3	Multiple	11
164	What is the white grape variety typical for wines from the Eden and Clare Valleys?	Riesling	Chenin Blanc	Grenache Blanc	Pinot Blanc	Riesling	"wine, Australia, regions, grapes, South Australia, Location"	3	Multiple	11
165	What wines are typical for the Rutherglen wine region?	Sweet fortified	Dry sparkling	Sweet late harvest	Dry frizzante	Sweet fortified	"wine, Australia, regions, fortified, Victoria, Location"	3	Multiple	11
166	What region of New Zealand is famous for its Bordeaux style blends?	Hawke’s Bay	Marlborough	Gisborne	Central Otago	Hawke’s Bay	"wine, NZ, regions, North Island New Zealand, Location"	3	Multiple	11
167	What “liqueur d’expedition” is?	Wine+cane sugar added in the proces of making a sparkling wine	Grape juice added to the wine to higher the ABV	Grape must	The wine made from the first crush	Wine+cane sugar added in the proces of making a sparkling wine	"wine, sparkling, vini, production, Champagne, Location"	4	Multiple	11
168	What disgorgement is?	The process of removing dead yeast from the bottle after second fermentation of a sparkling wine	The process of crushing grapes	One way of prunning vines	After taste you can feel after drinking dry fortified wine (e.g. Sherry)	The process of removing dead yeast from the bottle after second fermentation of a sparkling wine	"wine, sparkling, vini, production, Champagne, Location"	3	Multiple	11
169	In what process gyropallettes are used?	Riddling	Crushing	Pressing	Bottling	Riddling	"wine, sparkling, vini, production, Champagne, Location"	3	Multiple	11
170	What is the climate in the Champagne region?	Cool continental	Hot continental	Hot maritime	Cool maritime	Cool continental	"wine, sparkling, France, region, Champagne, Location"	3	Multiple	11
171	What is the minimal aging time for non-vintage Champagnes?	15 months	18 months	24 months	12 months	15 months	"wine, sparkling, France, region, Champagne, Location"	3	Multiple	11
172	What is the minimal aging time for vintage Champagnes?	36 months	24 months	15 months	30 months	36 months	"wine, sparkling, France, region, Champagne, Location"	3	Multiple	11
173	What grape variety is often used to produce sparkling wines in Loire Valley?	Chenin Blanc	Riesling	Sémillon	Pinot Gris	Chenin Blanc	"wine, sparkling, France, region, Loire Valley, Location"	3	Multiple	11
174	What grape variety is used to produce Prosecco?	Glera	Greco	Fiano	Garganega	Glera	"wine, sparkling, Italy, grapes, Veneto, Location"	3	Multiple	11
175	What is Crémant?	French sparkling wine made with traditional method outside of Champagne region	A product of malolactic fermentation	Name for french-style 100 litres barrels	Name for the bubbles coming from a champagne after opening it	French sparkling wine made with traditional method outside of Champagne region	"wine, sparkling, France, Location"	3	Multiple	11
176	What region produces Crémant wines?	Alsace	Bordeaux	Tasmania	Marlborough	Alsace	"wine, sparkling, France, region, Alsace, Location"	3	Multiple	11
177	What is the name of the soil typical for the Jerez region?	Albariza	Schist	Terra Rosa	Kimmeridgian	Albariza	"wine,Spain, fortified, vitis, Sherry, Andalusia, Location"	4	Multiple	11
178	What wines are produced with the use of the Solera system?	Sherry	Rioja	Toro	Priorat	Sherry	"wine,Spain, fortified, vini, Sherry, Andalusia, Location, production"	3	Multiple	11
179	Where is Sherry produced?	In the Jerez region of Spain	In the Duoro region of Portugal	In the NSW region of Australia	In the Marche region of Italy	In the Jerez region of Spain	"wine,Spain, fortified, regions, Andalusia, Sherry, Location"	3	Multiple	11
180	What are the main grapes varieties used to produce Sherry?	"Palomino, Pedro Ximenez, Moscatel"	"Garganega, Trebbiano"	"Chardonnay, Pinot Noir, Pinot Meunier"	"Macabeo, Palomino, Grenache Blanc"	"Palomino, Pedro Ximenez, Moscatel"	"wine,Spain, fortified, grapes, Andalusia, Sherry, Location"	3	Multiple	11
181	What is the name of fino Sherry made in Sanlucar de Barrameda?	Manzanilla	Cream	Oloroso	Ruby	Manzanilla	"wine,Spain, fortified, regions, Andalusia, Sherry, Location"	3	Multiple	11
182	What kind of sherry is Palo Cortado?	Oloroso	Fino	Pale cream	PX	Oloroso	"wine,Spain, fortified, Andalusia, Sherry, Location"	3	Multiple	11
183	What is the name of the soil typical for Duoro region?	Schist	Albariza	Terra Rosa	Kimmeridgian	Schist	"wine, Portugal, vitis regions, Central Portugal, Porto, fortified, Location"	3	Multiple	11
184	What are the main grapes used to produce Porto?	"Touriga Franca, Touriga Nacional, Tinta Roriz"	"Touriga Franca, Tinta Pinheira, Viosinho "	"Touriga Nacional, Tinta Roriz, Rabigato"	"Tempranillo, Espadeiro, Cornifesto"	"Touriga Franca, Touriga Nacional, Tinta Roriz"	"wine, Portugal, fortified, Central Portugal, Porto, grapes, Location"	3	Multiple	11
185	How are traditional steep terraced vineyards in Duoro called?	Patamares	Cortado	Cordon	Quarry 	Patamares	"wine, Portugal, regions, fortified, Central Portugal, Porto, Location"	4	Multiple	11
186	How long does Reserve Tawny Port need to be aged in wood?	7 years	10 years	5 years	9 years	7 years	"wine, Portugal, regions, fortified, Central Portugal, Porto, Location"	4	Multiple	11
187	What is the name of the Portuguese island famous for its fortified wines?	Madeira	Sherry	Baleal	Selvagem Grande	Madeira	"wine, Portugal, fortified, Madeira, Location"	3	Multiple	11
188	"What wines are produced from the grapes of Malmsey, Sercial and Bual?"	Madeira	Rioja	Taurasi	Santorini	Madeira	"wine, Portugal, fortified, Madeira, Location"	3	Multiple	11
189	How old does Madeira Reserve need to be?	At least 5 years old	At least 15 years old	At least 10 years old	At least 3 years old	At least 5 years old	"wine, Portugal, fortified, Madeira, Location"	4	Multiple	11
190	How old does Madeira Special Reserve need to be?	At least 10 years old	At least 8 years old	At least 12 years old	At least 18 years old	At least 10 years old	"wine, Portugal, fortified, Madeira, Location"	4	Multiple	11
191	How old does Madeira Extra Reserve need to be?	At least 15 years old	At least 12 years old	At least 18 years old	At least 24 years old	At least 15 years old	"wine, Portugal, fortified, Madeira, Location"	4	Multiple	11
192	How long do wines from Banyuls Grand Cru AOC need to be aged?	30 months	24 months	18 months	15 months	30 months	"wine, France, appellations, fortified, Languedoc-Roussillon, Location"	5	Multiple	11
193	What wines are produced in Banyuls AOC?	Fortified sweet  wines	Sparkling wines	"Rich, bold red  dry wines"	Rosé wines	Fortified sweet  wines	"wine, France, appellations, fortified, Languedoc-Roussillon, Location"	5	Multiple	11
194	Part of which region is Banyuls AOC?	Roussillon 	Loire Valley	Alsace	Bordeaux	Roussillon 	"wine, France, appellations, fortified, Languedoc-Roussillon, Location"	5	Multiple	11
195	What grape variety is required to produce wines of Banyuls AOC?	Grenache Noir 	Riesling	Mourvèdre	Gamay	Grenache Noir 	"wine, France, appellations, fortified, Languedoc-Roussillon, grapes, Location"	5	Multiple	11
196	What type of wine is produced as Muscat de Beaumes de Venise?	Vin doux naturel 	Sparkling wines	Rosé wines	Vieilles vignes	Vin doux naturel 	"wine, France, appellations, fortified, Rhône Valley, Location"	4	Multiple	11
197	What is the minimum ABV of Muscat de Beaumes de Venise wines?	15%	14%	18%	19%	15%	"wine, France, appellations, fortified, Rhône Valley, Location"	5	Multiple	11
198	In which region are produced Muscat de Beaumes de Venise wines?	Rhône Valley	Alsace	Provence	Languedoc	Rhône Valley	"wine, France, appellations, fortified, Rhône Valley, Location"	4	Multiple	11
199	What is used to produce brandy?	Grapes	Wheat	Hops	Potatoes	Grapes	spirit	3	Multiple	11
200	What is used to produce cognac?	Grapes	Sugarcane	Agace	Potatoes	Grapes	spirit	3	Multiple	11
201	What is used to produce Scotch whisky?	Malted barley	Malted grapes	Malted sugarcane	Malted wheat	Malted barley	spirit	3	Multiple	11
202	Which one is not a region where Scotch whisky is produced?	Middlelands	Lowlands	Islay	Speyside	Middlelands	spirit	4	Multiple	11
203	What is used to give colour to Golden Rum?	Caramel	Liquorice	Brown suger	Sugercane	Caramel	spirit	3	Multiple	11
204	What is used to produce Tequila?	Blue Agave	Barley	Grape must	Potatoes	Blue Agave	spirit	3	Multiple	11
205	For how long does Muy Añejo Tequila need to be aged in oak?	Minimum 3 years	Minimum 2 years	Minimum 4 years	Minimum 5 years	Minimum 3 years	spirit	4	Multiple	11
206	When is the growing season in the northern hemisphere?	April to October 	May to December 	February to October 	December to March 	April to October 	"wine, vitis, production"	3	Multiple	11
207	When is the growing season in the southern hemisphere?	October to April 	December to March 	September to May 	May to December 	October to April 	"wine, vitis, production"	3	Multiple	11
208	What affects the metabolism of the vine? 	Temperature	Soil	Viticulture 	Wind	Temperature	"wine, vitis, production"	4	Multiple	11
209	Which of the regions is not considered as cool?	Bordeaux	Champagne 	Mosel	Tasmania 	Bordeaux	"wine, vitis, regions, France, Bordeaux, Champagne, Mosel, Tasmania, Location "	3	Multiple	11
210	What is the average mean temperature of a moderate climate?	16.5-18.5 C	17 - 20.5 C	15.5 - 17.5 C	15 - 19.5 C	16.5-18.5 C	"wine, vitis, production"	4	Multiple	11
211	Which of the regions is not considered as moderate?	Jerez 	Tuscany 	Rioja 	Bordeaux	Jerez 	"wine, vitis, regions, Spain, Andalusia, Sherry, Location"	3	Multiple	11
212	How could you describe the temperatures in San Joaquin Valley?	Hot	Cool	Moderate	Warm	Hot	"wine, vitis, regions, USA, California, Location"	4	Multiple	11
213	How do we call the difference between the average mean temperature of the hottest month and the coldest month?	Continentality	Diurnality	Nocturnality	Climate	Continentality	"wine, vitis, production"	4	Multiple	11
214	What is NOT the characteristic of a maritime climate?	"Dry, long nights"	Low annual range of temperature	Relatively high rainfall and cloud cover 	Near large bodies of water 	"Dry, long nights"	"wine, vitis, production"	4	Multiple	11
215	What is NOT the characteristic of a mediterranean climate?	Hot summers and cold winters 	Long growing season 	Warm sunny summers and mild winters	Low annual range of temperature	Hot summers and cold winters 	"wine, vitis, production"	4	Multiple	11
216	What is NOT the characteristic of a continental climate?	Long growing season 	Wide annual range of temperature	Hot summers and cold winters 	Short growing season 	Long growing season 	"wine, vitis, production"	4	Multiple	11
217	What is the typical maritime climate region?	Eastern coast of New Zealand 	Brazil	Burgundy	Mendoza 	Eastern coast of New Zealand 	"wine, vitis, New Zealand, Burgundy, Mendoza"	3	Multiple	11
218	What is the typical mediterranean climate region?	South Africa	Burgundy	Eastern coast of New Zealand 	Bordeaux	South Africa	"wine, vitis, production"	3	Multiple	11
219	What region is NOT an example of a cool continental climate?	Tuscany	British Columbia	Mosel	Champagne	Tuscany	"wine, vitis, production, Tuscany, Mosel, Canada, Champagne, Location"	3	Multiple	11
220	What is an aspect?	Direction a vineyard slope faces	Degree of incline of a vineyard	Measurement of how much water a vine can use from the soil	Degree of how much sun is used to photosynthesis	Direction a vineyard slope faces	"wine, vitis, production"	4	Multiple	11
221	How many hours are required for vitis vinifera to produce ripe fruit?	At last 1250 hours	At least 1025 hours	At least 1400 hours	At least 975 hours	At last 1250 hours	"wine, vitis, production"	4	Multiple	11
222	Which one is a disadvantage of proximity of a vineyard to bodies of water?	Increased humidity	Heat storage	Souce of irrigation	Reflection of sun's rays	Increased humidity	"wine, vitis, production"	4	Multiple	11
223	What soil texture has the smallest particles?	Clay	Silt	Sand	Gravel	Clay	"wine, vitis, production"	4	Multiple	11
224	What part of vine is responsible for reproduction?	Flowers	Grapes	Canes	Leaves	Flowers	"wine, vitis, production"	3	Multiple	11
225	What part of vine attracts birds?	Berries 	Flowers	Leaves	Roots	Berries 	"wine, vitis, production"	3	Multiple	11
226	What part of vine is responsible for absorption of water and nutrients?	Roots	Berries 	Flowers	Trunk	Roots	"wine, vitis, production"	3	Multiple	11
227	What part of vine is responsible for storing carbohydrates?	Trunk	Flowers	Leaves	Roots	Trunk	"wine, vitis, production"	3	Multiple	11
228	Müller-Thurgau is a crossing of which varieties?	Riesling and Madeleine Royale	Muscat and Pinot Blanc	Sylvaner and Pinot Gris	Chenin Blanc and Gewürztraminer	Riesling and Madeleine Royale	"wine, vitis, grapes"	4	Multiple	11
229	Which one is a method of bench grafting?	Omega	T-budding	Cleft-grafting 	Chip-budding	Omega	"wine, vitis, production"	4	Multiple	11
230	When is terracing needed in a vineyard?	When slopes are over 20 degrees 	When slopes are over 12 degrees 	When slopes are over 8 degrees 	When slopes are over 17 degrees 	When slopes are over 20 degrees 	"wine, vitis, production"	4	Multiple	11
231	What are the advantages of plastic mulching?	Better soil structure	Smaller cost &  less labour	Superficial rooting 	Smaller frost risk	Better soil structure	"wine, vitis, production"	4	Multiple	11
232	How do we call the weight of wood produced by vine within a year ?	Vine's vigor 	Vine’s fruit	Vine’s growth	Vine’s weight	Vine's vigor 	"wine, vitis, production"	4	Multiple	11
233	"How do we call the organisation of the shoots, leaves and fruit of the vine?"	Conopy management	Vine's vigor 	T-budding	Grafting	Conopy management	"wine, vitis, production"	3	Multiple	11
234	Sonoma and Napa Valley are parts of what region?	California	Casablanca	Margaret River	Marlborough	California	"wine, USA, regions, California, Location"	2	Multiple	11
235	Malbec and Torrontés are popular in which country?	Argentina	New Zealand	England	Germany	Argentina	"wine, Argentina, grapes, Location"	2	Multiple	11
236	What grape variety is used to produce Barbera d’Asti?	Barbera	Nebbiolo	Sangiovese	Cabernet Sauvignon	Barbera	"wine, Italy, grapes, regions, appellations, Piemonte, Location"	2	Multiple	11
237	What is the main grape variety used to produce Chianti Classico?	Sangiovese	Barbera	Nebbiolo	Mourvèdre	Sangiovese	"wine, Italy, grapes, regions, appellations, Tuscany, Location"	2	Multiple	11
